epoch,acc,loss,val_acc,val_loss
0,0.7934968918424344,0.5881082817347977,0.7924107015132904,0.4731689468026161
1,0.8505474160032369,0.40076388411794894,0.7834821492433548,0.5035281330347061
2,0.8895923983467363,0.2961041870649942,0.78125,0.536819189786911
3,0.9154465086242168,0.22508200815950183,0.8124999850988388,0.4741211012005806
4,0.9422899402629856,0.15354949877092602,0.8482142686843872,0.4548892080783844
5,0.9558105803922933,0.12334630650056257,0.803571417927742,0.5576389580965042
6,0.9704524573086591,0.0795975918137741,0.8325892835855484,0.49691566824913025
7,0.9795541596544747,0.06045482843591456,0.8549107015132904,0.5552784651517868
8,0.987138910857154,0.04102696645540544,0.828125,0.581972062587738
9,0.990766400060275,0.031055872577104102,0.8303571194410324,0.5767095237970352
10,0.9930748030859787,0.024549899407811222,0.834821417927742,0.5915689542889595
11,0.9940641177878375,0.019976724073332102,0.830357164144516,0.5440022200345993
12,0.9974937412547272,0.013044428654764939,0.8392856866121292,0.5607529878616333
13,0.9984171005277203,0.00835169827529433,0.8236607015132904,0.6605037897825241
14,0.9992745048121402,0.0055157182774087715,0.825892835855484,0.6452188342809677
