epoch,acc,loss,val_acc,val_loss
0,0.7963169559836387,0.5804967804998159,0.7828571373224258,0.6600596389174461
1,0.8096428456902504,0.5499023044854403,0.8061607027053833,0.5560830685496331
2,0.8170758819580078,0.5111698532477021,0.8269642740488052,0.5487478739023208
3,0.829352665245533,0.471829354763031,0.7794642806053161,0.6128548702597618
4,0.8380803462862968,0.4330547708272934,0.813214276432991,0.5103086555004119
5,0.8486383816599846,0.40535585407167674,0.8294642722606659,0.5094493526220322
6,0.8545535604655743,0.3922713628783822,0.811607129573822,0.5672891482710838
7,0.8634598127007485,0.36404632061719894,0.8129464238882065,0.5241679865121841
8,0.8697321346402168,0.3450584812276065,0.7970535600185394,0.5385218469798565
9,0.8818080282211304,0.31236327355727556,0.8219642758369445,0.5808882340788841
10,0.8884598152339458,0.2879825492575765,0.8258928501605988,0.6849130293726922
11,0.8962053491175175,0.2717702557146549,0.8149106991291046,0.6659201657772065
12,0.9046428528428078,0.2501843263115734,0.7884821355342865,0.6187028586864471
13,0.9104017820954323,0.23395709878765047,0.8029464191198349,0.6884463238716125
14,0.9157812455296517,0.22049883779138327,0.8165178447961807,0.7240608897805214
